序号,标题,时长
110,4.5.4.9.2 状态模式的 Java 实现,34 分 5 秒
111,4.5.4.10.1 访问者模式详解,4 分 39 秒
112,4.5.4.10.2 访问者模式的 Java 实现,23 分 37 秒
113,4.5.4.11.1 命令模式详解,6 分 13 秒
114,4.5.4.11.2 命令模式的 Java 实现,9 分
115,4.5.4.12 解释器模式详解,2 分 55 秒
116,4.5.4.13 行为型模式总结,6 分 19 秒
117,4.5.4.14 设计模式总结,1 分 49 秒
118,4.6 历年试题讲解 - 选择,7 分 20 秒
119,4.6 历年试题讲解 - 选择 2,9 分 25 秒
120,4.7 历年试题讲解 - 案例,19 分 32 秒
121,5.1 数据库系统考情分析,11 分 46 秒
122,5.2 数据库综述 - 基本概念,4 分 7 秒
123,5.2 数据库综述 - 三级模式结构,10 分 44 秒
124,5.3.1 关系代数 - 概述,1 分 41 秒
125,5.3.2 关系代数 - 集合运算,3 分 52 秒
126,5.3.3 关系代数 - 关系运算,7 分 26 秒
127,5.3.4 关系代数 - 例题,9 分 20 秒
128,5.4.1 规范化理论 - 基本概念,12 分 31 秒
129,5.4.2 规范化理论 - 函数依赖,8 分 35 秒
130,5.4.3 规范化理论 - 关系的分解,15 分 40 秒
131,5.4.4 规范化理论 - 范式,15 分 56 秒
132,5.5.1 数据库设计 - 需求分析,7 分 26 秒
133,5.5.2 数据库设计 - 概念结构设计,20 分 34 秒
134,5.5.3 数据库设计 - 逻辑结构设计,27 分 28 秒
135,5.5.4 数据库设计 - 物理结构设计,4 分 11 秒
136,5.6.1NoSQL 数据库 - 概述,23 分 24 秒
137,5.6.2NoSQL 数据库 - 相关理论 1,25 分 42 秒
138,5.6.2NoSQL 数据库 - 相关理论 2,17 分 9 秒
139,5.6.3 常见 NoSQL 数据库,24 分 38 秒
140,5.7.1 其它 - 概述,2 分 9 秒
141,5.7.2 其它 - 备份技术,6 分 48 秒
142,5.7.3 其它 - 分布式数据库,8 分 28 秒
143,5.7.4 其它 - 数据仓库,7 分 29 秒
144,5.8 历年试题讲解 - 选择,21 分 5 秒
145,5.8 历年试题讲解 - 选择 2,8 分 19 秒
146,5.8 历年试题讲解 - 选择 3,9 分 18 秒
147,5.9 历年试题讲解 - 案例,24 分 45 秒
148,6.1 架构基础考情分析,4 分 46 秒
149,6.2.1 项目介绍,18 分 12 秒
150,6.2.2 架构的概念,12 分 3 秒
151,6.2.3 四加一视图,15 分 28 秒
152,6.3.1 架构风格定义,8 分 39 秒
153,6.3.2 数据流风格 - 定义,2 分 22 秒
154,6.3.2 数据流风格 - 批处理,3 分 16 秒
155,6.3.2 数据流风格 - 管道过滤器,3 分 20 秒
156,6.3.2 数据流风格 - 闭环,2 分 35 秒
157,6.3.3 调用返回风格 - 定义,2 分 29 秒
158,6.3.3 调用返回风格 - 主程序子程序,7 分 14 秒
159,6.3.3 调用返回风格 - 面向对象,2 分 33 秒
160,6.3.3 调用返回风格 - 层次型,7 分 25 秒
161,6.3.3 调用返回风格 - 客户端服务器,3 分 27 秒
162,6.3.4 数据中心风格 - 仓库,6 分 9 秒
163,6.3.4 数据中心风格 - 黑板,8 分 16 秒
164,6.3.5 虚拟机风格 - 定义,4 分 38 秒
165,6.3.5 虚拟机风格 - 解释器,8 分 20 秒
166,6.3.5 虚拟机风格 - 规则系统,7 分 42 秒
167,6.3.5 虚拟机风格 - 规则系统 2,4 分 2 秒
168,6.3.6 独立构件风格 - 定义,2 分 27 秒
169,6.3.6 独立构件风格 - 进程通信,8 分 12 秒
170,6.3.6 独立构件风格 - 事件系统,10 分 56 秒
171,6.4.1 基于架构的开发综述,10 分 24 秒
172,6.4.1 基于架构的开发综述 2,6 分 3 秒
173,6.4.2 架构需求,14 分 54 秒
174,6.4.3 架构设计,16 分 17 秒
175,6.4.4 架构文档化与复审,5 分 12 秒
176,6.4.5 架构实现,5 分 35 秒
177,6.4.6 架构演化,12 分 18 秒
178,6.5 软件架构复用,15 分 22 秒
179,6.6.1DSSA 的定义,10 分 24 秒
180,6.6.2DSSA 的基本活动,8 分 9 秒
181,6.6.3 参与 DSSA 的人员,6 分 39 秒
182,6.6.4DSSA 的建立过程,5 分 31 秒
183,6.6.5DSSA 的应用举例,16 分 33 秒
184,6.7 历年试题讲解 - 选择,12 分 6 秒
185,6.7 历年试题讲解 - 选择 2,15 分 27 秒
186,6.7 历年试题讲解 - 选择 3,10 分 50 秒
187,6.8 历年试题讲解 - 案例,37 分 18 秒
188,6.8 历年试题讲解 - 案例 2,5 分 50 秒
189,7.1.1 架构进阶考情分析,7 分 29 秒
190,7.1.2 项目介绍,19 分 44 秒
191,7.2.1 质量属性综述,3 分 31 秒
192,7.2.2 质量属性详解,12 分 47 秒
193,7.2.3 质量属性补充知识,5 分 35 秒
194,7.2.4 质量属性场景描述 - 定义,7 分 30 秒
195,7.2.4 质量属性场景描述 - 详解,17 分 40 秒
196,7.2.5 软件质量影响因素,4 分 6 秒
197,7.3.1 架构评估综述,4 分 41 秒
198,7.3.2 重要概念 - 敏感点,10 分 16 秒
199,7.3.2 重要概念 - 权衡点,3 分 38 秒
200,7.3.2 重要概念 - 其它,2 分 39 秒
201,7.3.3SAAM,26 分 59 秒
202,7.3.4ATAM,19 分 56 秒
203,7.3.5 其它方法,5 分 34 秒
204,7.4.1 可靠性综合知识,14 分 52 秒
205,7.4.2 可靠性设计 - 系统配置技术,14 分 33 秒
206,7.4.2 可靠性设计 - 其它技术,5 分 41 秒
207,7.4.3 软件可靠性管理,12 分 56 秒
208,7.4.4Web 服务器性能评估,4 分 43 秒
209,7.5.1 架构演化基础,2 分 30 秒
210,7.5.2 大型网站架构演化实例,23 分 51 秒
211,7.6 软件架构维护,2 分 33 秒
212,7.7 历年试题讲解 - 选择,11 分 2 秒
213,7.7 历年试题讲解 - 选择 2,14 分 23 秒
214,7.7 历年试题讲解 - 选择 3,8 分 59 秒
215,7.8 历年试题讲解 - 案例,23 分 5 秒
216,7.8 历年试题讲解 - 案例 2,11 分 20 秒
217,8.1.1 架构实战考情分析,11 分 50 秒
218,8.1.2 项目介绍,12 分 20 秒
219,8.2.1 层次式架构设计综述,11 分 22 秒
220,8.2.2 表现层架构设计 —MVC 模式,10 分 44 秒
221,8.2.2 表现层架构设计 —MVP 模式,5 分 42 秒
222,8.2.2 表现层架构设计 —MVVM 模式,12 分
223,8.2.2 表现层架构设计 — 三种设计思想,6 分 28 秒
224,8.2.3 中间层架构设计 — 业务逻辑组件,7 分 8 秒
225,8.2.3 中间层架构设计 — 工作流,6 分 20 秒
226,8.2.3 中间层架构设计 — 业务逻辑实体,4 分 24 秒
227,8.2.3 中间层架构设计 — 业务逻辑框架,2 分 20 秒
228,8.2.4 数据访问层架构设计 — 在线访问,2 分 2 秒
229,8.2.4 数据访问层架构设计 —DAO 模式,9 分 51 秒
230,8.2.4 数据访问层架构设计 — 离线数据模式,2 分 11 秒
231,8.2.4 数据访问层架构设计 —OR 映射,11 分 56 秒
232,8.2.4 数据访问层架构设计 —DTO 模式,8 分 3 秒
233,8.2.5 层次式架构案例,12 分 47 秒
234,8.3.1SOA 综述,10 分 56 秒
235,8.3.2SOA 协议,8 分 10 秒
236,8.3.3SOA 设计模式 — 服务注册表模式,2 分 34 秒
237,8.3.3SOA 设计模式 — 企业服务总线模式,18 分 42 秒
238,8.3.4SOA 其它知识,6 分 54 秒
239,8.3.4SOA 真实项目案例,31 分 45 秒
240,8.3.4SOA 真实项目案例 2,15 分 39 秒
241,8.3.5 微服务综述 —REST 规范,23 分 38 秒
242,8.3.5 微服务综述 — 微服务定义及特点,9 分 16 秒
243,8.3.5 微服务综述 — 微服务与 SOA 的区别,9 分 5 秒
244,8.3.6 微服务设计模式,15 分 23 秒
245,8.3.7 微服务项目实战 - Nacos 注册中心,10 分 32 秒
246,8.3.7 微服务项目实战 - 微服务网关,7 分 9 秒
247,8.3.7 微服务项目实战 - 微服务集群搭建,7 分 23 秒
248,8.3.7 微服务项目实战 - 性能监控,6 分 28 秒
249,8.3.7 微服务项目实战 - 熔断、限流与降级,7 分 58 秒
250,8.3.7 微服务项目实战 - 前端负载均衡,18 分 34 秒
251,8.3.7 微服务项目实战 - 存储搭建,10 分 3 秒
252,8.3.8web 系统性能测试深入讲解,22 分 27 秒
253,8.4.1 云计算的定义,4 分 42 秒
254,8.4.2 云计算的服务方式,6 分 55 秒
255,8.4.3 云计算的部署模式,2 分 24 秒
256,8.4.4 边缘计算基础 - MQTT 协议,10 分 36 秒
257,8.4.5 边缘计算的定义与特点,20 分 51 秒
258,8.4.6 边云协同,5 分 7 秒
259,8.4.7 边缘计算的安全,2 分 57 秒
260,8.5.1 云原生综述,12 分 38 秒
261,8.5.2 云原生架构模式 - 服务化、容器化、serverless,8 分 30 秒
262,8.5.2 云原生架构模式 - 存算分离、分布式事务,12 分 56 秒
263,8.5.2 云原生架构模式 - 可观测、事件驱动,6 分 41 秒
264,8.5.3 云原生架构反模式,3 分 7 秒
265,8.5.4 云原生架构相关技术 - 镜像与容器,13 分 9 秒
266,8.5.4 云原生架构相关技术 - 服务网格,5 分 27 秒
267,8.5.4 云原生架构相关技术 - DevOps,4 分 59 秒
268,8.5.5 云原生案例分析,13 分 36 秒
269,8.5.6 云原生项目实战 - 综述,4 分 15 秒
